Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Home Ownership_outlier,Annual Income_outlier,Annual Income_nan,Tax Liens_outlier,Number of Open Accounts_outlier,Months since last delinquent_nan,Bankruptcies_outlier,Bankruptcies_nan,Purpose_nan,Years of Credit History_outlier,Maximum Open Credit_outlier,Current Loan Amount_outlier,Current Credit Balance_outlier,Monthly Debt_outlier,Credit Score_nan,Years in current job_nan,Years in current job_1 year,Years in current job_10+ years,Years in current job_2 years,Years in current job_3 years,Years in current job_4 years,Years in current job_5 years,Years in current job_6 years,Years in current job_7 years,Years in current job_8 years,Years in current job_9 years,Years in current job_< 1 year,Tax Liens_0.0,Tax Liens_1.0,Tax Liens_2.0,Bankruptcies_0.0,Bankruptcies_1.0,Bankruptcies_2.0,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Term_Long Term,Term_Short Term,Home Mortgage,Own Home,Rent,ID,years_cat,num_cat,credit_cat,CreditScoreTLB1,CreditScoreTLB2,CreditScoreTLB3,CreditScoreTBNT,AnIMoD
Home Mortgage,1168386.0,< 1 year,0.0,7.0,11.5,256322.0,0.0,32.0,0.0,debt consolidation,Short Term,220858.0,187492.0,14592.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,1,4,723.1353996737357,724.25701839303,722.7259506135434,729.2101616628175,82773.5
Home Mortgage,1828560.0,4 years,0.0,12.0,17.6,839080.0,0.0,32.0,0.0,debt consolidation,Short Term,441100.0,402914.0,15528.0,737.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,3,2,4,723.144128113879,724.25701839303,722.7259506135434,729.2101616628175,136852.0
Home Mortgage,933432.0,10+ years,0.0,8.0,14.0,443608.0,0.0,32.0,0.0,debt consolidation,Short Term,337766.0,315305.0,19446.0,706.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,2,1,4,723.6175548589341,724.25701839303,722.7259506135434,729.2101616628175,58340.0
Rent,2066364.0,10+ years,0.0,11.0,17.7,1654026.0,0.0,32.0,0.0,debt consolidation,Long Term,549780.0,1037077.0,21869.0,728.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,3,2,4,722.4205202312139,724.25701839303,722.7259506135434,704.9185228604924,150328.0
Own Home,2258796.0,7 years,0.0,11.0,17.7,1602546.0,0.0,32.0,0.0,other,Short Term,185262.0,1374327.0,16076.5,748.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,14,3,2,4,722.4205202312139,724.25701839303,722.7259506135434,729.2101616628175,172156.5
Rent,848464.0,10+ years,0.0,9.0,18.4,296186.0,0.0,32.0,0.0,debt consolidation,Short Term,145134.0,41439.0,12939.0,727.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,3,1,4,722.9917582417582,724.25701839303,722.7259506135434,729.2101616628175,57766.33333333333
Rent,1168386.0,7 years,0.0,6.0,17.8,899492.0,0.0,32.0,0.0,debt consolidation,Long Term,313038.0,538346.0,18844.0,731.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,3,1,4,724.3789682539683,724.25701839303,722.7259506135434,704.9185228604924,78521.5
Home Mortgage,3361898.0,3 years,0.0,14.0,28.5,1042096.0,0.0,32.0,0.0,debt consolidation,Long Term,498872.0,689396.0,16076.5,644.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,4,2,2,721.302380952381,724.25701839303,722.7259506135434,704.9185228604924,264081.6666666667
Home Mortgage,1401744.0,2 years,0.0,9.0,29.0,387222.0,0.0,40.0,0.0,debt consolidation,Long Term,553586.0,201989.0,13434.0,695.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,4,1,4,722.9917582417582,722.4375,722.7259506135434,704.9185228604924,103378.0
Rent,1020072.0,2 years,0.0,6.0,12.5,199078.0,0.0,32.0,0.0,debt consolidation,Short Term,309672.0,120517.0,14451.0,712.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,2,1,4,724.3789682539683,724.25701839303,722.7259506135434,729.2101616628175,70555.0
Home Mortgage,1651993.0,10+ years,0.0,11.0,26.5,663894.0,0.0,44.0,0.0,debt consolidation,Long Term,585090.0,252852.0,8742.0,697.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20,4,2,4,722.4205202312139,715.6666666666666,722.7259506135434,704.9185228604924,128924.08333333334
Home Mortgage,1047394.0,6 years,0.0,7.0,34.4,401104.0,0.0,45.0,0.0,debt consolidation,Short Term,324852.0,183597.0,7786.0,719.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21,4,1,4,723.1353996737357,722.92,722.7259506135434,729.2101616628175,79496.83333333333
Rent,463790.0,10+ years,0.0,6.0,28.3,288442.0,0.0,32.0,0.0,debt consolidation,Short Term,309573.0,157700.0,5063.0,738.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,4,1,4,724.3789682539683,724.25701839303,722.7259506135434,729.2101616628175,33586.166666666664
Own Home,1168386.0,10+ years,0.0,17.0,14.8,700040.0,0.0,17.0,0.0,debt consolidation,Short Term,174878.0,168074.0,17132.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,23,2,3,4,722.2456896551724,720.7586206896551,722.7259506135434,729.2101616628175,80233.5
Own Home,1168386.0,10+ years,0.0,12.0,25.0,1216336.0,0.0,61.0,0.0,debt consolidation,Short Term,467676.0,818311.0,37530.0,731.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,4,2,4,723.144128113879,719.9722222222222,722.7259506135434,729.2101616628175,59835.5
Rent,1353142.0,10+ years,0.0,3.0,29.8,1231912.0,0.0,32.0,0.0,other,Short Term,108042.0,1036279.0,22225.0,720.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,25,4,0,4,720.9052631578948,724.25701839303,722.7259506135434,729.2101616628175,90536.83333333333
Home Mortgage,951425.0,2 years,0.0,20.0,15.8,748880.0,0.0,32.0,0.0,other,Short Term,66110.0,285874.0,17046.0,742.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,26,3,3,4,720.1397849462365,724.25701839303,722.7259506135434,729.2101616628175,62239.41666666667
Rent,1004055.0,8 years,0.0,7.0,14.5,328394.0,0.0,32.0,0.0,debt consolidation,Short Term,309573.0,195966.0,6041.0,734.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,2,1,4,723.1353996737357,724.25701839303,722.7259506135434,729.2101616628175,77630.25
Home Mortgage,711094.0,10+ years,0.0,12.0,19.5,533808.0,0.0,32.0,0.0,debt consolidation,Short Term,155782.0,262314.0,13807.0,740.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28,3,2,4,723.144128113879,724.25701839303,722.7259506135434,729.2101616628175,45450.833333333336
Rent,1168386.0,10+ years,0.0,9.0,18.6,186494.0,0.0,6.0,0.0,debt consolidation,Short Term,357918.0,72808.0,22352.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,3,1,4,722.9917582417582,721.15625,722.7259506135434,729.2101616628175,75013.5
Rent,612750.0,7 years,0.0,8.0,14.0,225016.0,1.0,32.0,1.0,debt consolidation,Short Term,309573.0,147687.0,6128.0,719.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,2,1,4,723.6175548589341,724.25701839303,720.0370370370371,725.7162872154115,44934.5
Own Home,1289796.0,10+ years,0.0,11.0,20.5,845548.0,0.0,32.0,0.0,debt consolidation,Long Term,309573.0,640433.0,26549.0,708.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,31,4,2,4,722.4205202312139,724.25701839303,722.7259506135434,704.9185228604924,80934.0
Home Mortgage,1526840.0,10+ years,0.0,19.0,25.0,1303082.0,0.0,14.0,0.0,debt consolidation,Short Term,265188.0,495178.0,28247.0,726.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32,4,3,4,723.1223021582733,721.671052631579,722.7259506135434,729.2101616628175,98989.66666666667
Home Mortgage,1168386.0,< 1 year,0.0,13.0,21.0,101464.0,0.0,11.0,0.0,other,Short Term,79464.0,60287.0,14003.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,33,4,2,4,721.2881720430107,717.7254901960785,722.7259506135434,729.2101616628175,83362.5
Rent,1899050.0,3 years,0.0,6.0,10.2,802692.0,0.0,32.0,0.0,take a trip,Short Term,43978.0,550430.0,21839.0,722.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,34,2,1,4,724.3789682539683,724.25701839303,722.7259506135434,729.2101616628175,136415.16666666666
Rent,1168386.0,< 1 year,0.0,9.0,31.4,1457104.0,0.0,32.0,0.0,buy a car,Short Term,155474.0,254201.0,7020.0,731.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35,4,1,4,722.9917582417582,724.25701839303,722.7259506135434,729.2101616628175,90345.5
Home Mortgage,1168386.0,6 years,0.0,8.0,14.5,409222.0,0.0,14.0,0.0,other,Long Term,667458.0,206758.0,18846.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,36,2,1,4,723.6175548589341,721.671052631579,722.7259506135434,704.9185228604924,78519.5
Rent,1168386.0,5 years,0.0,13.0,18.0,608652.0,0.0,32.0,0.0,debt consolidation,Short Term,122936.0,221825.0,10806.0,731.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37,3,2,4,721.2881720430107,724.25701839303,722.7259506135434,729.2101616628175,86559.5
Rent,1395645.0,6 years,0.0,15.0,17.6,1480182.0,0.0,75.0,0.0,debt consolidation,Short Term,120670.0,58805.0,10200.0,750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38,3,2,4,721.6996805111821,725.2083333333334,722.7259506135434,729.2101616628175,106103.75
Home Mortgage,852017.0,7 years,0.0,12.0,7.6,337722.0,3.0,32.0,0.0,debt consolidation,Short Term,175384.0,160417.0,21868.0,727.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39,1,2,4,723.144128113879,724.25701839303,722.7259506135434,728.0625,49133.41666666667
Rent,709821.0,10+ years,0.0,13.0,23.7,339724.0,0.0,65.0,0.0,debt consolidation,Long Term,246004.0,198341.0,14670.0,670.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40,4,2,3,721.2881720430107,721.0714285714286,722.7259506135434,704.9185228604924,44481.75
Rent,1350349.0,10+ years,0.0,20.0,15.0,763422.0,0.0,10.0,0.0,debt consolidation,Short Term,241230.0,306584.0,9014.0,721.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,41,2,3,4,720.1397849462365,716.8412698412699,722.7259506135434,729.2101616628175,103515.08333333333
Own Home,1168386.0,4 years,0.0,22.0,10.9,625042.0,0.0,28.0,0.0,debt consolidation,Long Term,326810.0,300675.0,13844.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,42,2,4,4,723.9795918367347,723.1111111111111,722.7259506135434,704.9185228604924,83521.5
Home Mortgage,1168386.0,10+ years,0.0,10.0,9.4,348678.0,0.0,32.0,0.0,debt consolidation,Short Term,191136.0,165927.0,12031.0,731.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,43,1,1,4,720.5843293492696,724.25701839303,722.7259506135434,729.2101616628175,85334.5
Home Mortgage,1334256.0,10+ years,0.0,17.0,15.4,478159.0,1.0,35.0,0.0,take a trip,Short Term,34357.0,656450.0,34357.0,729.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,44,3,3,4,722.2456896551724,724.8644067796611,722.7259506135434,725.5441176470588,76831.0
Home Mortgage,1168386.0,10+ years,0.0,10.0,21.4,1104554.0,1.0,32.0,1.0,debt consolidation,Long Term,774092.0,595251.0,28897.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,45,4,1,4,720.5843293492696,724.25701839303,720.0370370370371,701.245508982036,68468.5
Home Mortgage,1721457.0,10+ years,0.0,6.0,27.3,263604.0,0.0,6.0,0.0,debt consolidation,Short Term,309573.0,121353.0,23527.0,723.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,46,4,1,4,724.3789682539683,721.15625,722.7259506135434,729.2101616628175,119927.75
Own Home,1168386.0,5 years,0.0,18.0,18.0,1447468.0,0.0,32.0,0.0,debt consolidation,Short Term,215490.0,612541.0,24039.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,47,3,3,4,719.9580419580419,724.25701839303,722.7259506135434,729.2101616628175,73326.5
Home Mortgage,1168386.0,8 years,0.0,14.0,18.7,252670.0,0.0,29.0,0.0,home improvements,Long Term,323796.0,94696.0,25005.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,48,3,2,4,721.302380952381,725.830985915493,722.7259506135434,704.9185228604924,72360.5
Rent,1168386.0,5 years,0.0,8.0,17.0,181742.0,0.0,13.0,0.0,debt consolidation,Short Term,355344.0,108300.0,19012.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,3,1,4,723.6175548589341,719.276923076923,722.7259506135434,729.2101616628175,78353.5
Rent,665931.0,3 years,0.0,6.0,22.2,279642.0,0.0,32.0,0.0,debt consolidation,Long Term,220308.0,181127.0,9379.0,716.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50,4,1,4,724.3789682539683,724.25701839303,722.7259506135434,704.9185228604924,46115.25
Home Mortgage,1521672.0,3 years,0.0,12.0,10.4,900878.0,0.0,32.0,0.0,debt consolidation,Short Term,132154.0,242744.0,20416.0,742.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,51,2,2,4,723.144128113879,724.25701839303,722.7259506135434,729.2101616628175,106390.0
Rent,916560.0,3 years,0.0,8.0,9.5,564168.0,0.0,32.0,0.0,debt consolidation,Short Term,265320.0,183198.0,13137.0,744.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,52,1,1,4,723.6175548589341,724.25701839303,722.7259506135434,729.2101616628175,63243.0
Home Mortgage,2276808.0,10+ years,0.0,19.0,34.4,1685794.0,0.0,8.0,0.0,debt consolidation,Long Term,768922.0,267881.0,13889.0,707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,53,4,3,4,723.1223021582733,722.8235294117648,722.7259506135434,704.9185228604924,175845.0
Home Mortgage,1168386.0,10+ years,0.0,7.0,17.6,293766.0,1.0,71.0,1.0,debt consolidation,Short Term,175516.0,149948.0,3767.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,54,3,1,4,723.1353996737357,718.7,720.0370370370371,725.7162872154115,93598.5
